Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
OdinenTroy,OdinenTroy,,0,705,1,2,3,1,2,3,2,0.666667,0.75,0,0.000011,0.000359,0.000302,1,0.003834,0
Diplo_JV,Diplo_JV,,0,1341,1,1,2,1,1,2,1,1,1,0.333333,0,0.00087,0.000184,0,0.001803,2
b3roe,b3roe,,0,1349,0,5,5,0,5,5,18,0.08886,0.10247,0,0,0.00318,0.000143,0.25,0,1
AstrasNico,AstrasNico,,0,634,3,4,7,3,4,7,17,0.097368,0.115087,179480.914952,0.000894,0.031864,0.000668,0.166667,0.033478,1
AvVlastuin,AvVlastuin,,0,21,2,0,2,4,0,4,0,0,0,0,0.000294,0,0.000647,0.5,0.031213,1
NLRebellion,NLRebellion,,0,20,27,0,27,35,0,35,0,0,0,0,0.019157,0,0.004398,0.007123,0.315876,1
wondacollective,wondacollective,,0,634,18,1,19,20,1,21,20,0.082534,0.097738,1096.800794,0.033088,0.030661,0.002639,0.065359,0.248592,1
VerstappenWim,VerstappenWim,,0,1332,1,1,2,1,1,2,1,1,1,0.111111,0.00006,0.009801,0.000151,0,0.001803,1
Classy0943,Classy0943,,0,634,1,2,3,1,2,3,21,0.076552,0.089166,210.416667,0.001304,0.003484,0.000161,0.166667,0.005084,3
TheLightofK1,TheLightofK1,,0,1331,2,2,4,2,2,4,1,1,1,2.444444,0.000069,0.011759,0.000181,0,0.003606,4
trans_texan,trans_texan,,0,191,1,1,2,1,1,2,1,1,1,386.833333,0.000249,0.000498,0.000161,0,0.003231,2
vreugdeuiting,vreugdeuiting,,0,1350,0,2,2,0,2,2,17,0.101713,0.114572,0,0,0.000223,0.000143,0.5,0,2
Tjerkje01,Tjerkje01,,0,634,3,14,17,3,20,23,16,0.113108,0.135225,11393.233849,0.001404,0.020904,0.000269,0.033088,0.007668,2
JasperBosZwolle,JasperBosZwolle,,0,407,2,3,5,2,3,5,1,1,1,128.5,0.000516,0.00618,0.000302,0.1,0.009958,0
Ristret00005543,Ristret00005543,,0,1351,0,2,2,0,2,2,2,0.583333,0.642857,0,0,0.006959,0.000143,0,0,3
CanarisCanaris1,CanarisCanaris1,,0,1340,1,3,4,1,3,4,2,0.8,0.875,3.333333,0,0.005161,0.000184,0,0.001803,2
HHedonisme,HHedonisme,,0,634,2,2,4,2,3,5,16,0.122464,0.145613,940.216667,0.0013,0.000425,0.000198,0.166667,0.005548,3
