Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
brabostudent,brabostudent,,0,492,3,1,4,3,1,4,14,0.13825,0.160411,213028.066667,0.001891,0.000052,3,0.000164,0,0.009747
Edwardvanvlietc,Edwardvanvlietc,,0,3008,0,1,1,0,1,1,1,1,1,0,0,0.013305,0,0.000113,0,0
BarnyNL,BarnyNL,,0,3010,0,2,2,0,2,2,1,1,1,0,0,0.000106,0,0.000113,0.5,0
Biertjuh,Biertjuh,,0,3009,1,1,2,1,1,2,1,1,1,0,0.000005,0.000106,0,0.000161,0.5,0.001911
DutchHumanist,DutchHumanist,,0,2251,2,1,3,3,1,4,1,1,1,4,0.00002,0.000011,4,0.000238,0,0.004871
swingheidi,swingheidi,,0,2802,1,3,4,1,3,4,1,1,1,0,0.000251,0.004744,4,0.000132,0.25,0.001911
EMN_51314,EMN_51314,,0,2801,2,0,2,2,0,2,0,0,0,0,0.000484,0,4,0.00017,0.5,0.00431
merlyntje,merlyntje,,0,3011,0,1,1,0,1,1,1,1,1,0,0,0.003961,0,0.000113,0,0
nlespada,nlespada,,0,3012,0,1,1,0,1,1,1,1,1,0,0,0.001291,0,0.000113,0,0
Rprive1,Rprive1,,0,3014,0,2,2,0,3,3,1,1,1,0,0,0.002281,4,0.000113,0,0
BasKetelaars1,BasKetelaars1,,0,3013,1,0,1,1,0,1,0,0,0,0,0.000112,0,4,0.000161,0,0.001911
serieusgezellig,serieusgezellig,,0,3015,0,1,1,0,1,1,23,0.067333,0.078339,0,0,0.001258,4,0.000113,0,0
BoarDutch,BoarDutch,,0,3016,0,1,1,0,1,1,1,1,1,0,0,0.006854,0,0.000113,0,0
sil_ver_sur_fer,sil_ver_sur_fer,,0,3018,0,3,3,0,3,3,1,1,1,0,0,0.002307,4,0.000113,0.333333,0
Madelin76152247,Madelin76152247,,0,3017,1,2,3,1,2,3,1,1,1,0,0.000113,0.002301,4,0.000145,0.333333,0.001911
FransPietersma,FransPietersma,,0,1038,2,1,3,2,1,3,1,1,1,16,0.002889,0.000185,1,0.000149,0,0.005149
INGRID58NL,INGRID58NL,,0,3019,0,4,4,0,4,4,2,0.833333,0.9,0,0,0.006524,1,0.000113,0,0
VolkersBram,VolkersBram,,0,3021,0,2,2,0,2,2,1,1,1,0,0,0.002294,4,0.000113,0.5,0
Yadirah85222465,Yadirah85222465,,0,3020,3,1,4,3,1,4,1,1,1,1,0.000376,0.002276,4,0.000217,0.166667,0.005733
GirbeCameron,GirbeCameron,,0,492,2,2,4,2,2,4,23,0.067448,0.079761,1956.166667,0.002305,0.010964,0,0.000139,0,0.006488
