index,tweet_id,username,text,tweet_source,tweet_source_link,rt_count,fav_count,clean_text
9483,1467211152438566917,HarbingerNL,RT @PvvOntmaskerd: Jep.. #kozp #volendam #racisten #baudet #wilders #pvv #fvd #zwartepietisracisme https://t.co/9qCEbMziDA,Twitter for Android,http://twitter.com/download/android,5,0,"['jep', 'kozp', 'volendam', 'racisten', 'baudet', 'wilders', 'pvv', 'fvd', 'zwartepietisracisme']"
9532,1467210562211823619,dra_nl,RT @JuliaSophie2_0: De arrogantie van #kozp ze gaan met bussen naar Volendam om daar ff de lokale bevolking te vertellen dat ze racisten zi…,Twitter for iPhone,http://twitter.com/download/iphone,2,0,"['arrogantie', 'kozp', 'gaan', 'bussen', 'volendam', 'ff', 'lokale', 'bevolking', 'vertellen', 'racisten', 'zi']"
9547,1467210471799414793,010wijk11,"RT @Soul7Food: Ik ga stuk!!! Arme beestjes! 🐟🤣🐟🤣🐟🤣🐟
#Volendam #kozp",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['ga', 'stuk', 'arme', 'beestjes', 'volendam', 'kozp']"
9564,1467210338387042308,Breeybomen,"RT @D_in_the_Double: @ShashiRoopram Huh? KOZP in Volendam? Ze hebben lef. Dat leeft daar helemaal niet.

Bij ons zouden ze ook het dorp uit…",Twitter for Android,http://twitter.com/download/android,1,0,"['huh', 'kozp', 'volendam', 'lef', 'leeft', 'helemaal', 'zouden', 'dorp']"
9566,1467210322796855304,NLfeest,"RT @Justin_Kees1: @trouw Hulde, #Volendam! Alleen samen krijgen we #KOZP onder controle.

Prachtig dat het #verzet tegen deze club EINDELIJ…",Twitter for Android,http://twitter.com/download/android,1,0,"['hulde', 'volendam', 'alleen', 'samen', 'krijgen', 'we', 'kozp', 'controle', 'prachtig', 'verzet', 'club', 'eindelij']"
9579,1467210099005472770,JohnnyDansen,RT @cher2108: @MissMel_12_ Volendam de beste 💪🏼💪🏼🤣🤣🤣oprotten met die gekken van #KOZP #fuckoff,Twitter Web App,https://mobile.twitter.com,1,0,"['volendam', 'beste', 'oprotten', 'gekken', 'kozp', 'fuckoff']"
9631,1467209443750338566,nuncaparami,"RT @JonkerEdwin: @AvanStraaten @thierrybaudet Oprotten met dat KOZP tuig, alles moet kapot in dit land van dat volk. Wat verwacht je dan al…",Twitter for Android,http://twitter.com/download/android,4,0,"['oprotten', 'kozp', 'tuig', 'kapot', 'land', 'volk', 'verwacht']"
9640,1467209316570705925,nelom2020,RT @JJachthuizen: Volendammers jullie zijn helden!!!! #kozp #volendam,Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['volendammers', 'jullie', 'helden', 'kozp', 'volendam']"
9705,1467208324554833932,astrid0519,RT @OranjeThomasvan: @AnnemarieGelder @telegraaf De ruimte die @DenKozp #kozp in de media krijgt is disproportioneel. Maar de media heeft a…,Twitter for Android,http://twitter.com/download/android,3,0,"['ruimte', 'kozp', 'media', 'krijgt', 'disproportioneel', 'media', 'a']"
9713,1467208238932312068,Maria36217789,RT @RendeJong5: Nou @NOS waarom zag ik dit net niet in het Journaal? Ik hoop in ieder geval dat er ook hardgekookte eieren tussen zaten. #k…,Twitter for iPad,http://twitter.com/#!/download/ipad,2,0,"['nou', 'waarom', 'zag', 'net', 'journaal', 'hoop', 'ieder', 'geval', 'hardgekookte', 'eieren', 'tussen', 'zaten', 'k']"
9717,1467208167461470209,gedoei,RT @oldnoskool: TUIG van #kozp #Volendam uitgejaagd https://t.co/Hy91Td5QL3,Twitter for iPad,http://twitter.com/#!/download/ipad,5,0,"['tuig', 'kozp', 'volendam', 'uitgejaagd']"
9734,1467207898161893385,4Tchat,RT @jorritstroet: Wie helpt me aan de 1000 volgers 😀? #vaccinatieplicht #Volendam #oversterfte #VaccinatieSchade #Vaccin #kozp #terugvolgza…,Retweetteuse,https://twitter.com/FreeBet13,1,0,"['helpt', '1000', 'volgers', 'vaccinatieplicht', 'volendam', 'oversterfte', 'vaccinatieschade', 'vaccin', 'kozp', 'terugvolgza']"
9771,1467207393855651847,ezgicalikogluu,RT @RF5Aakrep: #kozp #SuperTunaByJin #LaCasaDePapael5 #psvutr #TXTatMMA2021 #instagramdown #TheRedSleeve #HAPPYJINDAY #FortniteChapter3 #كل…,Twitter for Android,http://twitter.com/download/android,9,0,"['kozp', 'supertunabyjin', 'lacasadepapael5', 'psvutr', 'txtatmma2021', 'instagramdown', 'theredsleeve', 'happyjinday', 'fortnitechapter3']"
9791,1467207009518895113,donvanderveen,RT @Jeannet93890433: Lekker stel... #sinterklaas #zwartepiet #feyenoord https://t.co/w5em0wcMR3,Twitter for Android,http://twitter.com/download/android,2,0,"['lekker', 'stel', 'sinterklaas', 'zwartepiet', 'feyenoord']"
9819,1467206605460672512,ph1160,RT @TheDutch_Dude83: Trots op #Volendam weg met #kozp  ! Groeten uit #Dokkum #Friesland,Twitter Web App,https://mobile.twitter.com,15,0,"['trots', 'volendam', 'weg', 'kozp', 'groeten', 'dokkum', 'friesland']"
9821,1467206586728955907,Christine020865,"RT @rallyjef2: #kozp bezoekt Volendam

Well that escalated quickly",Twitter for Android,http://twitter.com/download/android,22,0,"['kozp', 'bezoekt', 'volendam', 'well', 'that', 'escalated', 'quickly']"
9824,1467206551769432066,Rondag661,RT @Steven17196286: @NHNieuws Goed zo Ingrid! KOZP fascisten moet je het dorp uitjagen! 🥰 Volendam 🥰,Twitter Web App,https://mobile.twitter.com,1,0,"['goed', 'ingrid', 'kozp', 'fascisten', 'dorp', 'uitjagen', 'volendam']"
9834,1467206404440268802,_Sprakeloos_,"RT @_Sprakeloos_: ""REETVEEG PIET"" 🤣🙈🤣 Zou KOZP het in hun broek gescheten hebben!?",Twitter Web App,https://mobile.twitter.com,2,0,"['sprakeloos', 'reetveeg', 'piet', 'kozp', 'broek', 'gescheten']"
