clean_text_string,modularity_class
kozp beoogt emancipatie minderheden bereikt tegenovergestelde steeds gewone mensen krijgen gloeiende hekel soor gewelddadige drammers,2
bekende act bij1 net geestverwanten kozp hetzelfde gedram intimidatie,2
bekende slachtofferrol agressor d66 klassen justitie mee kozp,2
zekers wel demonstratieverbod gegeven openbare orde veiligheid geding burgemeester daartoe hoofd driehoek daartoe bevoegdheid net aanwijzen demonstratie plekken doel kozp slachtoffer rol,2
demonstratierecht ene groep hetzelfde demonstratierecht alleen ingeperkt veiligheid geding beide gevallen verschil kozp vooraf aangekondigde demo liep hand,2
welk gedeelte bent mee oneens sta ervoor open demonstratierecht groot goed boycot kozp volendam gaat demonstreren provocatie zoals pegida deed moskee verschil,2
eieren gooien doe net vraag boycots mensen zomaar wagen spreken geloof demonstratierecht iedereen alhoewel afvraag kozp wilde demonstreren provoceren beetje zoals pegida moskee,2
vreemd continu racisten bij1 groenlinks kozp denken prima spreken hele groepen basis kleur uiteraard mogen pro zwarte piet mensen spreken motieven racisme 2,2
witte mannen kun wel alleen hebt argumenten juist punt groenlinks kozp voorbeeld alsof slavernij periode leven waarin onderdrukt minderheden omgekeerde waar,2
vraag denk jij alle redelijkheid ervan uitgaat minderheden hulp behoeven maak feite onderdrukte zoals bewezen kozp ziet racisme wit probleem best bizar mee,2
tussen kozp organisaties vermoedt begrijpt meerderheid nederlanders verandering wensten wel elke keer weggezet werden racist best bizar vonden kozp gesubsidieerd meneer soros,2
lijkt kijk gaat vooruit vraag komt basis schuldgevoel aangepraat racisme kleine club racisten elkaar krijgt racistisch feest vernaggelen kozp racisme wit probleem,2
weet per feit twee mannen verbonden kozp leiders allebei ghana komen wel stam meeste slaven hield ashanti beide geboren immigranten feit overigens,2
mag kozp grijze piet liefst sint straks kerstman wit voorbeeld white supremacism vinger verlies beide handen voeten idee waarom mensen hakken zand zetten,2
wel verandering zeker buiten rands,2
soms gewoon beter praktiseren waar anderen beschuldigt mensen debiel uitmaken meestal recept problemen mensen racist uitmaken kozp weekend weer ondervonden,2
kozp niks zoeken provoceren reactie uitlokken politie juist heel goed gedaan verwachtte kozp politie wel even volendammers vallen,2
gezien kozp iedereen racist uitmaakten actie reactie bravo volendam,2
livestream wel gezien kozp demonstranten moment geprovoceerd,2
eigenlijk black blocs kozp protesten benieuwd racisten gaan,2
kozp ontdaan belagen demonstranten volendam politie keek weg,2
zoals volendam kozp deed jaag den haag,2
kozp tuig betreft ineens mogelijk klootzakken erom gevraagd volgende keer verfbommetjes,2
vergeet vermelden kozp samenwerkingsverband new urban collective diverse stic,2
subsidie spons jerryafriyie aka tomdeairfryer kozp consequent vermeende dis,2
kozp gefund vn natuurlijke organisatie gewoon bedoeld nederlan,2
linkse deug media zoals enz zit,2
stormt bus scheld mensen racist schreeuwt vrouw gezicht megafoon verwacht,2
simpel jarenlang opzettelijk talloze sinterklaasfeesten verknalt megafoons schreeuwt ouders zelfs kinde,2
kozp,2
goedzo kozp agressieve figuren subsidie,2
hadden kozp criminelen haven moeten gooien,2
klootzakken kozp gesponsort soros,2
past helemaal straatje kozp weer slachtofferrol uithangen gedonder protest beter,2
criminele idioten kozp weer bezig,2
kozp krijgt idd geld soros,2
bus gehuurd kregen gratis veronicainside kozp,2
vond gedrag kozp normaal,2
nee gek afriyie voorman kozp neemt weg kozp,2
laat kozp spiegel kijken gesponsort femke vn,2
vreselijk jullie figuren kozp helpen stelletje agressieve opruiers,2
krijgen bergen subsidie kozp,2
erica liep megafoon tijdens suikerfeest haagse schilderswijk gillen kozp daarin lopen,1
lach onnozel jankende zwarte piet figuren kozp h stuur m nigeria actiegroepen,1
volgende keer eitje bol overdragen integratie problemen kozp,1
kick out zwarte piet volendam demonstranten bekogeld oliebollen geweldig kick out kozp integratie problemen,1
blanke kozp demonstranten,4
sympathiek inclusieve jongeman bekommert honger kozp activisten iedereen,4
kozp demonstranten werken,4
